date,position,song,artist,popularity,duration_ms,album_type,total_tracks,is_explicit,album_cover_url
2024-01-01,41,Silver Letters,Kira Lindqvist,80.0,135608,Single,1,False,https://cdn.example.com/covers/105.jpg
2024-01-01,42,Lonely Bones,The Paper Kites Co.,74.0,237046,Single,1,False,https://cdn.example.com/covers/060.jpg
2024-01-01,43,Neon Lines,Milo & The Tides,74.0,170991,Album,14,False,https://cdn.example.com/covers/076.jpg
2024-01-01,44,Velvet Bones,Ruben Castellanos,78.0,204364,Album,14,False,https://cdn.example.com/covers/131.jpg
2024-01-01,45,Wildflower Rooms,Saint Avery,73.0,230509,Album,12,False,https://cdn.example.com/covers/145.jpg
2024-01-01,46,Quiet Vices,The Lantern Club,71.0,227792,Single,1,False,https://cdn.example.com/covers/093.jpg
2024-01-01,47,Midnight Summers,The Lantern Club feat. Bea Whitlock,80.0,206872,Album,16,False,https://cdn.example.com/covers/073.jpg
2024-01-01,48,Bitter Signals,Jaxon Frey,65.0,168881,Single,1,False,https://cdn.example.com/covers/014.jpg
2024-01-01,49,Velvet Machines,Trey Nakamura,71.0,270666,Album,16,False,https://cdn.example.com/covers/135.jpg
2024-01-01,50,Quiet Wires,Cold Harbor,77.0,238598,Single,1,False,https://cdn.example.com/covers/094.jpg
2024-01-02,1,Wildflower Names,The Lantern Club feat. Nova Reyes,100.0,178107,Album,11,True,https://cdn.example.com/covers/144.jpg
2024-01-02,2,Faded Rivers,Saint Avery,100.0,216418,Album,15,False,https://cdn.example.com/covers/033.jpg
2024-01-02,3,Wildflower Signals,Dust & Ember,100.0,277579,Single,1,True,https://cdn.example.com/covers/146.jpg
2024-01-02,4,Bitter Machines,Dust & Ember,100.0,218931,Single,1,False,https://cdn.example.com/covers/011.jpg
2024-01-02,5,Ashen Engines,Nova Reyes feat. Omar Diallo,100.0,213798,Single,1,True,https://cdn.example.com/covers/001.jpg
2024-01-02,6,Static Bones,Milo & The Tides,100.0,128236,Album,19,False,https://cdn.example.com/covers/109.jpg
2024-01-02,7,Bitter Engines,Ruben Castellanos,99.0,183774,Album,18,False,https://cdn.example.com/covers/009.jpg
2024-01-02,8,Ashen Names,The Lantern Club,100.0,184103,Album,11,False,https://cdn.example.com/covers/005.jpg
2024-01-02,9,Ashen Rooms,Saint Avery feat. The Paper Kites Co.,100.0,221034,Album,20,True,https://cdn.example.com/covers/006.jpg
2024-01-02,10,Electric Weather,Dust & Ember feat. Milo & The Tides,100.0,135617,Album,11,False,https://cdn.example.com/covers/025.jpg
2024-01-02,11,Faded Promises,The Paper Kites Co.,100.0,216898,Album,11,False,https://cdn.example.com/covers/032.jpg
2024-01-02,12,Hollow Vices,Bea Whitlock,100.0,173530,Album,17,False,https://cdn.example.com/covers/053.jpg
2024-01-02,13,Faded Lines,Omar Diallo,96.0,213467,Album,10,True,https://cdn.example.com/covers/031.jpg
2024-01-02,14,Sunlit Machines,Saint Avery feat. Deja Monroe,94.0,223896,Single,1,False,https://cdn.example.com/covers/127.jpg
2024-01-02,15,Paper Rivers,Lorna Sky,96.0,245886,Album,12,False,https://cdn.example.com/covers/086.jpg
2024-01-02,16,Velvet Daylight,Bea Whitlock,100.0,214069,Album,6,True,https://cdn.example.com/covers/132.jpg
2024-01-02,17,Neon Wires,Deja Monroe feat. Milo & The Tides,97.0,189317,Album,20,False,https://cdn.example.com/covers/080.jpg
2024-01-02,18,Hollow Promises,Velvet Static,100.0,137625,Single,1,True,https://cdn.example.com/covers/050.jpg
2024-01-02,19,Quiet Cities,Halcyon Youth,92.0,190645,Album,11,True,https://cdn.example.com/covers/088.jpg
2024-01-02,20,Faded Bones,Kira Lindqvist,92.0,205265,Single,1,True,https://cdn.example.com/covers/027.jpg
2024-01-02,21,Lonely Names,Saint Avery,98.0,240634,Album,18,False,https://cdn.example.com/covers/063.jpg
2024-01-02,22,Wildflower Engines,Priya Anand,88.0,211866,Album,20,False,https://cdn.example.com/covers/141.jpg
2024-01-02,23,Paper Cities,Velvet Static,88.0,195370,Album,16,False,https://cdn.example.com/covers/081.jpg
2024-01-02,24,Silver Bones,Saint Avery feat. Trey Nakamura,91.0,242348,Single,1,True,https://cdn.example.com/covers/102.jpg
2024-01-02,25,Ivory Letters,Saint Avery,90.0,230277,Single,1,False,https://cdn.example.com/covers/057.jpg
2024-01-02,26,Ashen Bones,Milo & The Tides feat. Omar Diallo,85.0,143025,Single,1,False,https://cdn.example.com/covers/000.jpg
2024-01-02,27,Faded Crowns,Jaxon Frey,89.0,146551,Album,17,True,https://cdn.example.com/covers/029.jpg
2024-01-02,28,Restless Rivers,The Lantern Club,81.0,228103,Single,1,False,https://cdn.example.com/covers/099.jpg
2024-01-02,29,Midnight Crowns,Jaxon Frey,83.0,210662,Album,13,True,https://cdn.example.com/covers/067.jpg
2024-01-02,30,Sunlit Crowns,Kira Lindqvist,84.0,189400,Single,1,False,https://cdn.example.com/covers/123.jpg
2024-01-02,31,Lonely Lines,Omar Diallo,80.0,164735,Single,1,False,https://cdn.example.com/covers/061.jpg
2024-01-02,32,Hollow Names,Milo & The Tides,86.0,205579,Single,1,True,https://cdn.example.com/covers/049.jpg
2024-01-02,33,Ivory Summers,Saint Avery,82.0,277100,Album,17,True,https://cdn.example.com/covers/058.jpg
2024-01-02,34,Ivory Hours,Deja Monroe,85.0,236456,Album,12,False,https://cdn.example.com/covers/056.jpg
2024-01-02,35,Static Ghosts,Ruben Castellanos,81.0,214720,Single,1,False,https://cdn.example.com/covers/111.jpg
2024-01-02,36,Quiet Promises,Deja Monroe,76.0,172131,Album,16,False,https://cdn.example.com/covers/091.jpg
2024-01-02,37,Lonely Bones,The Paper Kites Co.,81.0,237046,Single,1,False,https://cdn.example.com/covers/060.jpg
2024-01-02,38,Golden Rivers,Bea Whitlock,82.0,215953,Single,1,False,https://cdn.example.com/covers/044.jpg
2024-01-02,39,Lonely Machines,Lorna Sky,84.0,254785,Single,1,True,https://cdn.example.com/covers/062.jpg
2024-01-02,40,Lonely Summers,Saint Avery,85.0,259426,Album,18,True,https://cdn.example.com/covers/065.jpg
2024-01-02,41,Neon Lines,Milo & The Tides,75.0,170991,Album,14,False,https://cdn.example.com/covers/076.jpg
2024-01-02,42,Sunlit Weather,Ruben Castellanos,76.0,246137,Album,11,True,https://cdn.example.com/covers/129.jpg
2024-01-02,43,Bitter Signals,Jaxon Frey,76.0,168881,Single,1,False,https://cdn.example.com/covers/014.jpg
2024-01-02,44,Quiet Wires,Cold Harbor,72.0,238598,Single,1,False,https://cdn.example.com/covers/094.jpg
2024-01-02,45,Electric Wires,Trey Nakamura feat. Deja Monroe,71.0,227637,Album,16,False,https://cdn.example.com/covers/026.jpg
2024-01-02,46,Velvet Bones,Ruben Castellanos,78.0,204364,Album,14,False,https://cdn.example.com/covers/131.jpg
2024-01-02,47,Sunlit Vices,The Lantern Club,75.0,228218,Single,1,True,https://cdn.example.com/covers/128.jpg
2024-01-02,48,Velvet Machines,Trey Nakamura,,270666,Album,16,False,https://cdn.example.com/covers/135.jpg
2024-01-02,49,Silver Letters,Kira Lindqvist,76.0,135608,Single,1,False,https://cdn.example.com/covers/105.jpg
2024-01-02,50,Quiet Vices,The Lantern Club,71.0,227792,Single,1,False,https://cdn.example.com/covers/093.jpg
2024-01-03,1,Wildflower Names,The Lantern Club feat. Nova Reyes,100.0,178107,Album,11,True,https://cdn.example.com/covers/144.jpg
2024-01-03,2,Faded Rivers,Saint Avery,100.0,216418,Album,15,False,https://cdn.example.com/covers/033.jpg
2024-01-03,3,Bitter Machines,Dust & Ember,100.0,218931,Single,1,False,https://cdn.example.com/covers/011.jpg
2024-01-03,4,Wildflower Signals,Dust & Ember,100.0,277579,Single,1,True,https://cdn.example.com/covers/146.jpg
2024-01-03,5,Ashen Engines,Nova Reyes feat. Omar Diallo,100.0,213798,Single,1,True,https://cdn.example.com/covers/001.jpg
2024-01-03,6,Faded Lines,Omar Diallo,100.0,213467,Album,10,True,https://cdn.example.com/covers/031.jpg
2024-01-03,7,Static Bones,Milo & The Tides,100.0,128236,Album,19,False,https://cdn.example.com/covers/109.jpg
2024-01-03,8,Bitter Engines,Ruben Castellanos,98.0,183774,Album,18,False,https://cdn.example.com/covers/009.jpg
2024-01-03,9,Ashen Rooms,Saint Avery feat. The Paper Kites Co.,100.0,221034,Album,20,True,https://cdn.example.com/covers/006.jpg
2024-01-03,10,Paper Rivers,Lorna Sky,98.0,245886,Album,12,False,https://cdn.example.com/covers/086.jpg
2024-01-03,11,Faded Promises,The Paper Kites Co.,100.0,216898,Album,11,False,https://cdn.example.com/covers/032.jpg
2024-01-03,12,Ashen Names,The Lantern Club,95.0,184103,Album,11,False,https://cdn.example.com/covers/005.jpg
2024-01-03,13,Velvet Daylight,Bea Whitlock,99.0,214069,Album,6,True,https://cdn.example.com/covers/132.jpg
2024-01-03,14,Electric Weather,Dust & Ember feat. Milo & The Tides,99.0,135617,Album,11,False,https://cdn.example.com/covers/025.jpg
2024-01-03,15,Hollow Vices,Bea Whitlock,92.0,173530,Album,17,False,https://cdn.example.com/covers/053.jpg
2024-01-03,16,Hollow Promises,Velvet Static,97.0,137625,Single,1,True,https://cdn.example.com/covers/050.jpg
2024-01-03,17,Faded Crowns,Jaxon Frey,96.0,146551,Album,17,True,https://cdn.example.com/covers/029.jpg
2024-01-03,18,Neon Wires,Deja Monroe feat. Milo & The Tides,98.0,189317,Album,20,False,https://cdn.example.com/covers/080.jpg
2024-01-03,19,Ivory Letters,Saint Avery,88.0,230277,Single,1,False,https://cdn.example.com/covers/057.jpg
2024-01-03,20,Wildflower Engines,Priya Anand,92.0,211866,Album,20,False,https://cdn.example.com/covers/141.jpg
2024-01-03,21,Sunlit Machines,Saint Avery feat. Deja Monroe,97.0,223896,Single,1,False,https://cdn.example.com/covers/127.jpg
2024-01-03,22,Silver Bones,Saint Avery feat. Trey Nakamura,97.0,242348,Single,1,True,https://cdn.example.com/covers/102.jpg
2024-01-03,23,Lonely Names,Saint Avery,91.0,240634,Album,18,False,https://cdn.example.com/covers/063.jpg
2024-01-03,24,Quiet Promises,Deja Monroe,94.0,172131,Album,16,False,https://cdn.example.com/covers/091.jpg
2024-01-03,25,Static Ghosts,Ruben Castellanos,,214720,Single,1,False,https://cdn.example.com/covers/111.jpg
2024-01-03,26,Ivory Hours,Deja Monroe,88.0,236456,Album,12,False,https://cdn.example.com/covers/056.jpg
2024-01-03,27,Golden Rivers,Bea Whitlock,89.0,215953,Single,1,False,https://cdn.example.com/covers/044.jpg
2024-01-03,28,Paper Cities,Velvet Static,87.0,195370,Album,16,False,https://cdn.example.com/covers/081.jpg
2024-01-03,29,Lonely Lines,Omar Diallo,88.0,164735,Single,1,False,https://cdn.example.com/covers/061.jpg
2024-01-03,30,Lonely Summers,Saint Avery,87.0,259426,Album,18,True,https://cdn.example.com/covers/065.jpg
2024-01-03,31,Hollow Names,Milo & The Tides,89.0,205579,Single,1,True,https://cdn.example.com/covers/049.jpg
2024-01-03,32,Ivory Summers,Saint Avery,84.0,277100,Album,17,True,https://cdn.example.com/covers/058.jpg
2024-01-03,33,Quiet Cities,Halcyon Youth,86.0,190645,Album,11,True,https://cdn.example.com/covers/088.jpg
2024-01-03,34,Lonely Machines,Lorna Sky,84.0,254785,Single,1,True,https://cdn.example.com/covers/062.jpg
2024-01-03,35,Faded Bones,Kira Lindqvist,78.0,205265,Single,1,True,https://cdn.example.com/covers/027.jpg
2024-01-03,36,Velvet Machines,Trey Nakamura,84.0,270666,Album,16,False,https://cdn.example.com/covers/135.jpg
2024-01-03,37,Lonely Bones,The Paper Kites Co.,80.0,237046,Single,1,False,https://cdn.example.com/covers/060.jpg
2024-01-03,38,Restless Rivers,The Lantern Club,85.0,228103,Single,1,False,https://cdn.example.com/covers/099.jpg
2024-01-03,39,Silver Letters,Kira Lindqvist,77.0,135608,Single,1,False,https://cdn.example.com/covers/105.jpg
2024-01-03,40,Ashen Bones,Milo & The Tides feat. Omar Diallo,83.0,143025,Single,1,False,https://cdn.example.com/covers/000.jpg
2024-01-03,41,Midnight Crowns,Jaxon Frey,84.0,210662,Album,13,True,https://cdn.example.com/covers/067.jpg
2024-01-03,42,Sunlit Crowns,Kira Lindqvist,83.0,189400,Single,1,False,https://cdn.example.com/covers/123.jpg
2024-01-03,43,Velvet Bones,Ruben Castellanos,75.0,204364,Album,14,False,https://cdn.example.com/covers/131.jpg
2024-01-03,44,Bitter Signals,Jaxon Frey,80.0,168881,Single,1,False,https://cdn.example.com/covers/014.jpg
2024-01-03,45,Faded Vices,Deja Monroe,74.0,106449,Album,15,False,https://cdn.example.com/covers/037.jpg
2024-01-03,46,Electric Wires,Trey Nakamura feat. Deja Monroe,78.0,227637,Album,16,False,https://cdn.example.com/covers/026.jpg
2024-01-03,47,Neon Lines,Milo & The Tides,76.0,170991,Album,14,False,https://cdn.example.com/covers/076.jpg
2024-01-03,48,Sunlit Weather,Ruben Castellanos,75.0,246137,Album,11,True,https://cdn.example.com/covers/129.jpg
2024-01-03,49,Wildflower Rooms,Saint Avery,72.0,230509,Album,12,False,https://cdn.example.com/covers/145.jpg
2024-01-03,50,Quiet Wires,Cold Harbor,76.0,238598,Single,1,False,https://cdn.example.com/covers/094.jpg
2024-01-04,1,Faded Rivers,Saint Avery,100.0,216418,Album,15,False,https://cdn.example.com/covers/033.jpg
2024-01-04,2,Bitter Machines,Dust & Ember,100.0,218931,Single,1,False,https://cdn.example.com/covers/011.jpg
2024-01-04,3,Wildflower Names,The Lantern Club feat. Nova Reyes,100.0,178107,Album,11,True,https://cdn.example.com/covers/144.jpg
2024-01-04,4,Wildflower Signals,Dust & Ember,100.0,277579,Single,1,True,https://cdn.example.com/covers/146.jpg
2024-01-04,5,Ashen Engines,Nova Reyes feat. Omar Diallo,100.0,213798,Single,1,True,https://cdn.example.com/covers/001.jpg
2024-01-04,6,Static Bones,Milo & The Tides,100.0,128236,Album,19,False,https://cdn.example.com/covers/109.jpg
2024-01-04,7,Ashen Names,The Lantern Club,99.0,184103,Album,11,False,https://cdn.example.com/covers/005.jpg
2024-01-04,8,Ashen Rooms,Saint Avery feat. The Paper Kites Co.,100.0,221034,Album,20,True,https://cdn.example.com/covers/006.jpg
2024-01-04,9,Bitter Engines,Ruben Castellanos,100.0,183774,Album,18,False,https://cdn.example.com/covers/009.jpg
2024-01-04,10,Sunlit Machines,Saint Avery feat. Deja Monroe,100.0,223896,Single,1,False,https://cdn.example.com/covers/127.jpg
2024-01-04,11,Electric Weather,Dust & Ember feat. Milo & The Tides,99.0,135617,Album,11,False,https://cdn.example.com/covers/025.jpg
2024-01-04,12,Faded Promises,The Paper Kites Co.,100.0,216898,Album,11,False,https://cdn.example.com/covers/032.jpg
2024-01-04,13,Ivory Letters,Saint Avery,100.0,230277,Single,1,False,https://cdn.example.com/covers/057.jpg
2024-01-04,14,Silver Bones,Saint Avery feat. Trey Nakamura,96.0,242348,Single,1,True,https://cdn.example.com/covers/102.jpg
2024-01-04,15,Faded Crowns,Jaxon Frey,95.0,146551,Album,17,True,https://cdn.example.com/covers/029.jpg
2024-01-04,16,Velvet Daylight,Bea Whitlock,91.0,214069,Album,6,True,https://cdn.example.com/covers/132.jpg
2024-01-04,17,Paper Rivers,Lorna Sky,95.0,245886,Album,12,False,https://cdn.example.com/covers/086.jpg
2024-01-04,18,Neon Wires,Deja Monroe feat. Milo & The Tides,97.0,189317,Album,20,False,https://cdn.example.com/covers/080.jpg
2024-01-04,19,Hollow Promises,Velvet Static,100.0,137625,Single,1,True,https://cdn.example.com/covers/050.jpg
2024-01-04,20,Hollow Vices,Bea Whitlock,93.0,173530,Album,17,False,https://cdn.example.com/covers/053.jpg
2024-01-04,21,Faded Lines,Omar Diallo,93.0,213467,Album,10,True,https://cdn.example.com/covers/031.jpg
2024-01-04,22,Quiet Promises,Deja Monroe,87.0,172131,Album,16,False,https://cdn.example.com/covers/091.jpg
2024-01-04,23,Ashen Bones,Milo & The Tides feat. Omar Diallo,89.0,143025,Single,1,False,https://cdn.example.com/covers/000.jpg
2024-01-04,24,Midnight Crowns,Jaxon Frey,90.0,210662,Album,13,True,https://cdn.example.com/covers/067.jpg
2024-01-04,25,Wildflower Engines,Priya Anand,93.0,211866,Album,20,False,https://cdn.example.com/covers/141.jpg
2024-01-04,26,Lonely Machines,Lorna Sky,89.0,254785,Single,1,True,https://cdn.example.com/covers/062.jpg
2024-01-04,27,Ivory Summers,Saint Avery,87.0,277100,Album,17,True,https://cdn.example.com/covers/058.jpg
2024-01-04,28,Lonely Lines,Omar Diallo,91.0,164735,Single,1,False,https://cdn.example.com/covers/061.jpg
2024-01-04,29,Lonely Summers,Saint Avery,85.0,259426,Album,18,True,https://cdn.example.com/covers/065.jpg
2024-01-04,30,Sunlit Crowns,Kira Lindqvist,86.0,189400,Single,1,False,https://cdn.example.com/covers/123.jpg
2024-01-04,31,Restless Rivers,The Lantern Club,87.0,228103,Single,1,False,https://cdn.example.com/covers/099.jpg
2024-01-04,32,Lonely Bones,The Paper Kites Co.,82.0,237046,Single,1,False,https://cdn.example.com/covers/060.jpg
2024-01-04,33,Static Ghosts,Ruben Castellanos,84.0,214720,Single,1,False,https://cdn.example.com/covers/111.jpg
2024-01-04,34,Paper Cities,Velvet Static,83.0,195370,Album,16,False,https://cdn.example.com/covers/081.jpg
2024-01-04,35,Quiet Cities,Halcyon Youth,88.0,190645,Album,11,True,https://cdn.example.com/covers/088.jpg
2024-01-04,36,Hollow Names,Milo & The Tides,79.0,205579,Single,1,True,https://cdn.example.com/covers/049.jpg
2024-01-04,37,Velvet Machines,Trey Nakamura,79.0,270666,Album,16,False,https://cdn.example.com/covers/135.jpg
2024-01-04,38,Ivory Hours,Deja Monroe,78.0,236456,Album,12,False,https://cdn.example.com/covers/056.jpg
2024-01-04,39,Electric Wires,Trey Nakamura feat. Deja Monroe,85.0,227637,Album,16,False,https://cdn.example.com/covers/026.jpg
2024-01-04,40,Faded Bones,Kira Lindqvist,79.0,205265,Single,1,True,https://cdn.example.com/covers/027.jpg
2024-01-04,41,Golden Rivers,Bea Whitlock,78.0,215953,Single,1,False,https://cdn.example.com/covers/044.jpg
2024-01-04,42,Bitter Signals,Jaxon Frey,82.0,168881,Single,1,False,https://cdn.example.com/covers/014.jpg
2024-01-04,43,Faded Vices,Deja Monroe,73.0,106449,Album,15,False,https://cdn.example.com/covers/037.jpg
2024-01-04,44,Lonely Names,Saint Avery,80.0,240634,Album,18,False,https://cdn.example.com/covers/063.jpg
2024-01-04,45,Velvet Bones,Ruben Castellanos,75.0,204364,Album,14,False,https://cdn.example.com/covers/131.jpg
2024-01-04,46,Silver Letters,Kira Lindqvist,73.0,135608,Single,1,False,https://cdn.example.com/covers/105.jpg
2024-01-04,47,Sunlit Weather,  RUBEN CASTELLANOS,70.0,246137,Album,11,True,https://cdn.example.com/covers/129.jpg
2024-01-04,48,Velvet Weather,Dust & Ember,70.0,271354,Album,9,False,https://cdn.example.com/covers/139.jpg
2024-01-04,49,Neon Lines,Milo & The Tides,76.0,170991,Album,14,False,https://cdn.example.com/covers/076.jpg
2024-01-04,50,Quiet Wires,Cold Harbor,70.0,238598,Single,1,False,https://cdn.example.com/covers/094.jpg
2024-01-05,1,Wildflower Names,The Lantern Club feat. Nova Reyes,100.0,178107,Album,11,True,https://cdn.example.com/covers/144.jpg
2024-01-05,2,Faded Rivers,Saint Avery,100.0,216418,Album,15,False,https://cdn.example.com/covers/033.jpg
2024-01-05,3,Static Bones,Milo & The Tides,100.0,128236,Album,19,False,https://cdn.example.com/covers/109.jpg
2024-01-05,4,Bitter Engines,Ruben Castellanos,100.0,183774,Album,18,False,https://cdn.example.com/covers/009.jpg
2024-01-05,5,Bitter Machines,Dust & Ember,100.0,218931,Single,1,False,https://cdn.example.com/covers/011.jpg
2024-01-05,6,Wildflower Signals,Dust & Ember,100.0,277579,Single,1,True,https://cdn.example.com/covers/146.jpg
2024-01-05,7,Hollow Promises,Velvet Static,100.0,137625,Single,1,True,https://cdn.example.com/covers/050.jpg
2024-01-05,8,Electric Weather,Dust & Ember feat. Milo & The Tides,100.0,135617,Album,11,False,https://cdn.example.com/covers/025.jpg
2024-01-05,9,Ashen Rooms,Saint Avery feat. The Paper Kites Co.,100.0,221034,Album,20,True,https://cdn.example.com/covers/006.jpg
2024-01-05,10,Ashen Engines,Nova Reyes feat. Omar Diallo,95.0,213798,Single,1,True,https://cdn.example.com/covers/001.jpg
2024-01-05,11,Paper Rivers,Lorna Sky,100.0,245886,Album,12,False,https://cdn.example.com/covers/086.jpg
2024-01-05,12,Hollow Vices,Bea Whitlock,98.0,173530,Album,17,False,https://cdn.example.com/covers/053.jpg
2024-01-05,13,Ashen Names,The Lantern Club,96.0,184103,Album,11,False,https://cdn.example.com/covers/005.jpg
2024-01-05,14,Faded Promises,The Paper Kites Co.,100.0,216898,Album,11,False,https://cdn.example.com/covers/032.jpg
2024-01-05,15,Velvet Daylight,Bea Whitlock,,214069,Album,6,True,https://cdn.example.com/covers/132.jpg
2024-01-05,16,Faded Lines,Omar Diallo,96.0,213467,Album,10,True,https://cdn.example.com/covers/031.jpg
2024-01-05,17,Sunlit Machines,Saint Avery feat. Deja Monroe,100.0,223896,Single,1,False,https://cdn.example.com/covers/127.jpg
2024-01-05,18,Ivory Letters,Saint Avery,90.0,230277,Single,1,False,https://cdn.example.com/covers/057.jpg
2024-01-05,19,Silver Bones,Saint Avery feat. Trey Nakamura,90.0,242348,Single,1,True,https://cdn.example.com/covers/102.jpg
2024-01-05,20,Faded Crowns,Jaxon Frey,88.0,146551,Album,17,True,https://cdn.example.com/covers/029.jpg
2024-01-05,21,Neon Wires,Deja Monroe feat. Milo & The Tides,91.0,189317,Album,20,False,https://cdn.example.com/covers/080.jpg
2024-01-05,22,Quiet Promises,Deja Monroe,88.0,172131,Album,16,False,https://cdn.example.com/covers/091.jpg
2024-01-05,23,Ashen Bones,Milo & The Tides feat. Omar Diallo,89.0,143025,Single,1,False,https://cdn.example.com/covers/000.jpg
2024-01-05,24,Electric Wires,Trey Nakamura feat. Deja Monroe,89.0,227637,Album,16,False,https://cdn.example.com/covers/026.jpg
2024-01-05,25,Midnight Crowns,Jaxon Frey,85.0,210662,Album,13,True,https://cdn.example.com/covers/067.jpg
2024-01-05,26,Paper Cities,Velvet Static,86.0,195370,Album,16,False,https://cdn.example.com/covers/081.jpg
2024-01-05,27,Quiet Cities,Halcyon Youth,89.0,190645,Album,11,True,https://cdn.example.com/covers/088.jpg
2024-01-05,28,Wildflower Engines,Priya Anand,90.0,211866,Album,20,False,https://cdn.example.com/covers/141.jpg
2024-01-05,29,Hollow Names,Milo & The Tides,87.0,205579,Single,1,True,https://cdn.example.com/covers/049.jpg
2024-01-05,30,Ivory Summers,Saint Avery,89.0,277100,Album,17,True,https://cdn.example.com/covers/058.jpg
